pet_id,data,idade_anos,peso_kg,atividade_diaria_pct,sono_diario_pct,consumo_agua_ml,status
1047,2026-08-28,4.4,7.85,61.6,48.8,522.0,0
1062,2026-08-22,12.7,6.45,84.1,77.2,727.0,0
1051,2026-08-15,5.0,8.46,92.4,49.3,647.0,0
1055,2026-08-19,11.9,7.32,94.0,60.8,475.0,0
1064,2026-09-03,13.4,7.62,37.6,58.9,458.0,1
1003,2026-08-22,6.8,5.99,56.0,38.0,654.0,0
1051,2026-08-17,13.7,7.62,80.8,62.9,832.0,0
1007,2026-09-01,6.0,8.93,81.1,61.4,780.0,0
1021,2026-08-30,14.5,7.03,100.0,65.4,411.0,0
1073,2026-08-26,1.8,6.81,51.8,62.4,432.0,0
1039,2026-08-25,10.5,,93.4,92.0,462.0,2
1018,2026-08-21,7.7,7.51,77.4,77.4,481.0,0
1004,2026-08-24,6.1,7.29,37.2,60.6,237.0,2
1089,2026-08-28,9.7,5.87,59.0,62.0,758.0,0
1060,2026-09-02,10.7,6.15,75.3,86.5,509.0,1
1014,2026-08-23,0.6,8.17,35.9,72.9,692.0,1
1009,2026-08-23,2.9,8.1,28.5,41.6,537.0,1
1090,2026-08-22,10.8,6.05,34.8,74.2,595.0,1
1053,2026-08-26,10.2,7.99,75.2,78.6,463.0,0
1002,2026-08-25,14.5,6.9,60.3,84.3,594.0,1
1084,2026-08-16,11.5,7.61,57.6,54.0,426.0,0
1092,2026-08-19,14.3,7.05,58.3,52.9,596.0,0
1060,2026-09-03,10.7,7.82,41.5,45.9,891.0,1
1071,2026-08-21,4.8,8.81,60.9,64.6,704.0,0
1044,2026-08-31,2.0,6.74,33.6,71.0,658.0,1
1008,2026-08-22,11.8,,93.8,52.3,336.0,1
1047,2026-08-30,9.8,6.18,100.0,57.9,713.0,0
1035,2026-08-16,1.2,7.23,23.5,29.2,733.0,2
1078,2026-08-23,5.7,7.56,60.6,82.6,654.0,1
1081,2026-08-17,14.4,8.14,61.9,36.5,643.0,0
1036,2026-08-29,7.8,6.61,66.5,65.6,572.0,0
1050,2026-08-17,6.8,8.43,90.0,63.6,730.0,0
1004,2026-08-25,7.1,6.29,60.7,60.7,879.0,0
1002,2026-08-27,3.5,5.55,68.2,61.0,666.0,0
1006,2026-08-30,5.8,8.22,100.0,44.8,406.0,0
1054,2026-08-26,5.9,6.73,67.8,55.1,421.0,0
1004,2026-08-26,1.3,7.43,100.0,74.5,745.0,0
1054,2026-08-27,11.6,6.41,80.0,79.0,407.0,0
1093,2026-08-24,6.5,6.01,58.9,53.7,640.0,0
1063,2026-08-25,12.4,7.53,55.6,36.6,531.0,0
1018,2026-08-22,12.8,6.92,69.9,48.3,386.0,1
1090,2026-08-23,3.6,5.87,47.5,87.8,766.0,1
1044,2026-09-01,10.0,7.32,52.7,49.2,741.0,0
1034,2026-08-20,7.3,7.13,61.5,58.5,329.0,1
1074,2026-09-03,13.3,7.23,75.9,81.2,696.0,1
1062,2026-08-23,3.6,6.72,100.0,52.1,667.0,0
1014,2026-08-25,10.3,8.4,60.3,57.5,767.0,0
1095,2026-08-18,9.3,8.67,79.2,71.9,633.0,0
1048,2026-08-15,4.8,8.02,37.4,85.7,885.0,1
1015,2026-09-06,2.5,5.79,91.2,50.3,575.0,0
1072,2026-08-24,9.9,8.43,35.6,80.9,546.0,1
1078,2026-08-25,11.2,6.97,86.0,55.8,405.0,0
1087,2026-08-31,5.1,7.0,68.4,46.7,413.0,0
1062,2026-08-25,9.9,6.47,67.6,63.7,395.0,1
1040,2026-08-15,6.2,8.68,64.0,42.6,644.0,0
1085,2026-08-17,10.8,7.25,44.0,67.1,546.0,1
1080,2026-08-16,3.4,5.66,45.0,100.0,666.0,2
1082,2026-08-16,13.4,6.36,86.7,76.6,358.0,1
1053,2026-08-28,4.7,8.81,70.2,58.4,429.0,0
1024,2026-08-18,5.8,5.77,63.8,75.8,425.0,0
1026,2026-08-31,1.3,7.84,78.9,46.0,1034.0,0
1089,2026-08-30,2.1,7.61,72.0,48.5,567.0,0
1060,2026-09-04,8.0,7.43,54.1,58.8,587.0,0
1041,2026-09-02,4.4,6.48,100.0,61.3,585.0,0
1029,2026-08-31,12.6,6.08,84.8,40.6,911.0,0
1015,2026-09-08,0.7,9.01,72.5,55.4,277.0,1
1045,2026-08-20,6.0,,59.7,57.8,588.0,0
1065,2026-09-02,5.4,8.14,89.1,83.1,275.0,1
1089,2026-09-01,0.8,6.2,54.2,40.6,124.0,2
1071,2026-08-23,2.3,5.9,52.6,39.2,453.0,0
1009,2026-08-24,6.5,5.55,100.0,62.6,682.0,0
1088,2026-08-24,7.6,7.2,70.6,77.3,440.0,0
1001,2026-08-16,6.4,7.5,54.7,68.3,679.0,0
1008,2026-08-23,8.2,6.93,70.1,64.5,621.0,0
1088,2026-08-26,9.1,6.33,87.0,55.7,572.0,0
1063,2026-08-27,0.6,6.73,82.4,70.1,853.0,0
1011,2026-08-23,7.2,7.45,89.5,72.4,481.0,0
1081,2026-08-18,14.5,6.91,45.0,56.1,676.0,0
1008,2026-08-24,8.0,8.56,89.0,45.8,239.0,2
1035,2026-08-18,10.3,7.23,66.4,45.9,620.0,0
1035,2026-08-20,5.0,6.86,71.8,73.2,549.0,0
1033,2026-08-30,11.7,6.16,94.2,36.8,364.0,1
1005,2026-08-20,11.7,7.98,84.1,85.2,680.0,1
1041,2026-09-03,8.1,6.35,77.0,53.2,452.0,0
1028,2026-09-01,14.7,5.9,30.3,64.6,946.0,1
1007,2026-09-03,2.3,,69.1,70.5,113.0,2
1073,2026-08-28,0.7,7.01,54.3,49.7,650.0,0
1072,2026-08-26,11.7,6.72,84.2,53.1,609.0,0
1012,2026-08-19,12.2,7.14,89.8,62.0,544.0,0
1034,2026-08-22,2.2,8.57,64.0,47.2,494.0,0
1033,2026-08-31,4.4,6.17,56.7,44.0,614.0,0
1048,2026-08-17,0.8,8.22,100.0,45.3,812.0,0
1023,2026-08-23,4.8,8.04,57.9,78.1,266.0,1
1062,2026-08-27,11.7,6.34,46.1,66.0,439.0,0
1088,2026-08-28,8.0,6.58,53.3,48.1,390.0,1
1037,2026-09-02,5.5,6.48,58.9,73.1,381.0,1
1099,2026-08-30,5.9,8.28,52.8,48.9,669.0,0
1044,2026-09-02,0.5,7.49,86.9,30.7,718.0,0
1086,2026-08-29,4.8,6.42,26.0,70.5,813.0,1
1091,2026-08-24,9.9,6.72,52.3,84.7,721.0,1
1035,2026-08-21,14.6,8.31,69.1,68.4,737.0,0
1065,2026-09-04,12.8,6.53,74.2,31.7,318.0,1
1099,2026-09-01,0.8,7.81,100.0,59.6,897.0,0
1047,2026-09-01,13.5,6.83,100.0,55.9,558.0,0
1078,2026-08-26,11.9,5.54,38.0,65.7,807.0,1
1003,2026-08-23,11.8,6.39,31.8,47.3,325.0,1
1001,2026-08-18,7.1,6.7,70.5,55.0,552.0,0
1005,2026-08-22,6.3,6.28,56.5,38.7,789.0,0
1090,2026-08-24,4.9,5.43,46.2,63.3,606.0,0
1014,2026-08-26,1.5,7.89,70.3,39.3,449.0,0
1027,2026-08-15,3.8,7.25,74.6,66.6,862.0,0
1009,2026-08-26,4.1,8.47,53.2,48.7,366.0,1
1079,2026-08-28,7.5,6.26,57.5,12.9,596.0,0
1015,2026-09-10,11.3,5.9,54.8,71.9,728.0,0
1090,2026-08-25,7.4,5.64,61.8,67.4,1019.0,0
1042,2026-08-28,1.3,8.36,80.8,80.3,508.0,1
1077,2026-09-02,14.4,7.94,48.4,28.6,545.0,0
1051,2026-08-18,14.2,6.44,57.2,50.2,511.0,0
1063,2026-08-28,11.9,5.95,62.0,62.0,648.0,0
1096,2026-08-30,14.9,7.6,69.9,68.6,718.0,0
1052,2026-09-03,8.4,6.1,75.5,38.1,819.0,0
1096,2026-09-01,14.5,6.39,100.0,66.5,751.0,0
1004,2026-08-28,1.6,7.99,81.4,51.4,501.0,0
1094,2026-08-31,5.8,7.11,81.9,32.2,763.0,0
1023,2026-08-24,3.8,5.68,64.7,48.7,618.0,0
1015,2026-09-11,3.3,5.71,50.4,67.7,749.0,0
1043,2026-08-20,2.5,9.19,59.4,32.8,760.0,0
1029,2026-09-01,9.5,6.23,55.8,69.6,926.0,0
1036,2026-08-30,11.8,5.95,77.8,64.3,529.0,0
1013,2026-08-25,8.9,6.24,37.0,56.2,491.0,1
1032,2026-09-01,2.6,5.51,81.9,35.5,689.0,0
1071,2026-08-25,12.3,7.21,67.7,36.7,837.0,0
1059,2026-08-29,9.7,7.72,84.7,54.0,612.0,0
1086,2026-08-31,6.1,6.35,55.5,43.1,850.0,0
1028,2026-09-03,10.3,6.92,52.0,55.0,738.0,0
1066,2026-08-25,4.3,7.22,61.9,73.6,560.0,0
1042,2026-08-30,5.5,6.53,61.4,55.9,713.0,0
1045,2026-08-22,13.8,7.13,86.1,55.5,513.0,0
1062,2026-08-28,4.7,7.97,85.9,55.5,648.0,0
1057,2026-09-03,7.3,5.73,100.0,75.2,385.0,1
1006,2026-08-31,13.4,7.94,60.1,79.4,586.0,0
1028,2026-09-05,10.8,7.48,3.0,66.3,800.0,2
1028,2026-09-07,1.4,7.97,61.8,62.0,753.0,0
1044,2026-09-03,2.6,6.7,74.6,63.4,724.0,0
1084,2026-08-18,0.6,7.71,84.3,81.4,657.0,1
1030,2026-08-28,9.6,7.18,76.1,67.1,632.0,0
1062,2026-08-29,7.0,6.12,60.1,82.8,347.0,1
1075,2026-09-01,2.4,7.5,100.0,53.7,559.0,0
1092,2026-08-21,14.4,9.27,49.3,40.0,637.0,0
1089,2026-09-03,8.2,8.92,64.5,50.0,375.0,1
1062,2026-08-31,4.0,5.72,48.4,51.6,250.0,1
1097,2026-08-24,7.8,8.21,70.4,84.1,826.0,1
1001,2026-08-19,10.4,6.4,100.0,71.0,610.0,0
1027,2026-08-16,1.6,5.45,67.2,50.4,642.0,0
1062,2026-09-01,4.5,7.13,67.3,72.1,711.0,0
1077,2026-09-04,12.2,6.35,36.1,58.1,404.0,1
1003,2026-08-24,7.2,,64.3,84.5,519.0,1
1070,2026-08-18,8.4,6.48,93.0,55.0,901.0,0
1072,2026-08-27,6.8,7.57,65.0,36.9,502.0,0
1027,2026-08-18,1.1,5.66,63.6,57.2,547.0,0
1009,2026-08-28,2.9,6.42,92.1,55.0,466.0,0
1062,2026-09-03,7.0,6.65,63.7,39.9,452.0,0
1037,2026-09-04,3.5,5.91,95.8,68.8,821.0,0
1097,2026-08-25,1.2,5.7,44.3,81.4,105.0,2
1051,2026-08-19,12.7,6.1,83.6,43.2,509.0,0
1044,2026-09-05,14.7,7.18,100.0,74.6,645.0,0
1024,2026-08-20,12.0,6.25,90.2,50.9,939.0,0
1079,2026-08-29,12.9,7.02,32.7,59.6,373.0,1
1059,2026-08-30,4.0,7.04,57.2,58.1,339.0,1
1032,2026-09-03,14.4,8.92,65.2,59.6,428.0,0
1096,2026-09-03,3.4,8.77,90.2,67.1,740.0,0
1088,2026-08-30,14.3,7.42,43.4,44.6,625.0,1
1052,2026-09-05,14.9,6.57,49.6,79.4,311.0,1
1062,2026-09-04,10.8,6.06,37.9,67.6,620.0,1
1058,2026-08-29,14.7,7.92,53.5,72.5,910.0,0
1052,2026-09-06,8.8,5.7,45.0,48.3,653.0,0
1012,2026-08-21,4.3,,100.0,43.3,633.0,0
1039,2026-08-27,6.8,6.4,57.1,77.7,645.0,0
1002,2026-08-28,9.1,6.3,83.8,42.6,683.0,0
1003,2026-08-25,1.6,6.34,70.4,62.2,347.0,1
1056,2026-09-01,9.5,7.5,70.1,75.3,554.0,0
1081,2026-08-20,14.7,5.7,58.2,58.1,564.0,0
1059,2026-08-31,3.3,7.44,85.4,77.6,503.0,0
1002,2026-08-29,12.0,5.68,73.1,55.9,737.0,0
1002,2026-08-30,13.7,5.59,71.9,40.8,473.0,0
1092,2026-08-22,14.2,7.64,58.1,65.6,528.0,0
1054,2026-08-28,14.4,6.1,61.4,63.0,348.0,1
1087,2026-09-01,8.1,7.82,81.8,100.0,676.0,2
1096,2026-09-04,14.7,7.53,74.6,45.8,788.0,0
1097,2026-08-27,11.5,5.92,72.5,56.2,528.0,0
1001,2026-08-21,2.8,8.17,54.9,49.0,761.0,0
1019,2026-08-25,7.4,6.15,100.0,57.9,571.0,0
1002,2026-09-01,10.9,7.71,60.4,57.3,100.0,2
1053,2026-08-29,4.1,6.24,69.4,46.9,590.0,0
1044,2026-09-07,9.8,7.2,66.3,67.0,565.0,0
1090,2026-08-27,10.2,5.43,100.0,56.8,621.0,0
1032,2026-09-04,2.9,7.41,64.2,80.2,651.0,1
1070,2026-08-19,8.7,7.75,62.4,50.3,463.0,0
1032,2026-09-06,11.7,7.53,72.4,87.9,894.0,1
1068,2026-09-02,7.7,,56.1,64.1,587.0,0
1055,2026-08-20,0.7,8.7,72.2,79.1,560.0,0
1075,2026-09-03,0.6,8.81,100.0,61.7,749.0,0
1056,2026-09-02,5.7,6.29,76.0,48.3,604.0,0
1017,2026-08-28,13.9,6.38,75.3,56.0,1113.0,0
1038,2026-08-25,3.8,6.42,55.6,39.2,558.0,0
1024,2026-08-22,9.7,7.14,100.0,58.3,670.0,0
1069,2026-08-20,3.7,7.19,100.0,62.6,450.0,0
1098,2026-08-24,5.2,6.77,87.1,60.7,774.0,0
1070,2026-08-21,12.8,6.23,83.1,80.0,662.0,0
1086,2026-09-01,11.1,7.09,65.3,57.8,532.0,0
1011,2026-08-25,1.9,5.87,77.8,31.6,426.0,0
1016,2026-08-29,6.7,6.62,53.3,100.0,338.0,2
1097,2026-08-29,0.9,6.91,47.5,49.6,684.0,0
1073,2026-08-29,7.5,8.62,40.3,74.5,323.0,1
1059,2026-09-02,10.1,7.03,78.2,37.4,862.0,0
1070,2026-08-23,2.2,7.45,42.4,63.7,347.0,1
1080,2026-08-17,4.7,6.28,60.0,48.1,564.0,0
1093,2026-08-26,6.3,7.68,68.8,17.7,424.0,0
1003,2026-08-27,13.8,5.65,89.9,55.8,607.0,0
1020,2026-08-17,14.9,6.53,58.4,59.2,605.0,0
1059,2026-09-04,1.2,6.89,92.3,56.7,689.0,0
1036,2026-09-01,11.5,5.55,88.8,63.6,295.0,1
1019,2026-08-26,5.9,6.75,48.6,56.0,447.0,0
1090,2026-08-29,6.2,9.16,92.5,61.0,794.0,0
1067,2026-08-17,11.4,7.64,64.3,62.6,732.0,0
1019,2026-08-27,13.8,6.22,60.0,59.5,100.0,2
1020,2026-08-18,14.3,5.52,64.4,57.4,675.0,0
1096,2026-09-05,8.9,6.36,69.9,46.6,394.0,1
1071,2026-08-27,5.7,6.39,61.7,68.9,482.0,0
1052,2026-09-07,11.9,8.13,53.2,55.8,555.0,0
1033,2026-09-02,4.1,5.95,55.0,54.5,911.0,0
1040,2026-08-17,8.7,7.94,72.8,67.7,391.0,1
1039,2026-08-28,5.7,5.66,66.8,63.2,319.0,1
1082,2026-08-17,10.0,7.83,80.5,49.5,690.0,0
1001,2026-08-23,4.0,7.11,71.0,78.8,594.0,0
1011,2026-08-26,3.3,8.5,71.5,42.2,841.0,0
1092,2026-08-24,13.8,6.83,81.9,44.5,529.0,0
1057,2026-09-04,2.0,6.68,98.4,70.0,842.0,0
1089,2026-09-04,7.8,6.01,99.2,86.3,603.0,1
1050,2026-08-18,3.7,6.07,96.8,51.3,706.0,0
1023,2026-08-26,1.1,7.82,87.4,66.2,925.0,0
1031,2026-08-24,1.0,9.01,100.0,42.1,567.0,0
1094,2026-09-02,3.0,8.38,78.8,46.1,809.0,0
1042,2026-09-01,13.1,6.75,76.5,77.0,477.0,0
1099,2026-09-03,4.6,8.62,100.0,65.5,646.0,0
1007,2026-09-05,14.3,5.99,15.5,77.4,311.0,2
1016,2026-08-30,8.9,6.14,65.7,76.3,499.0,0
1090,2026-08-31,6.8,6.51,95.0,28.7,388.0,1
1060,2026-09-06,8.9,7.11,89.6,42.1,844.0,0
1002,2026-09-02,8.0,6.49,100.0,64.1,948.0,0
1001,2026-08-25,11.5,5.81,72.1,34.5,529.0,0
1048,2026-08-18,4.6,7.4,61.4,44.2,445.0,0
1012,2026-08-23,5.6,8.73,63.4,81.4,337.0,1
1069,2026-08-21,13.5,6.68,76.4,51.9,653.0,0
1037,2026-09-06,14.2,5.71,100.0,70.7,480.0,0
1032,2026-09-07,13.4,6.22,100.0,59.6,490.0,0
1009,2026-08-30,6.6,6.14,68.9,49.8,926.0,0
1099,2026-09-05,11.8,6.75,75.1,35.0,541.0,0
1019,2026-08-28,7.4,7.33,57.8,63.5,717.0,0
1048,2026-08-19,7.7,6.87,59.9,81.8,611.0,1
1080,2026-08-18,3.5,7.09,90.9,50.2,329.0,1
1003,2026-08-28,9.1,6.88,100.0,61.0,231.0,2
1020,2026-08-20,3.2,7.52,56.1,37.2,698.0,0
1024,2026-08-24,5.3,6.35,74.9,49.9,941.0,0
1054,2026-08-29,12.9,6.58,65.1,65.1,663.0,0
1033,2026-09-04,3.5,7.57,87.3,71.2,725.0,0
1024,2026-08-25,1.5,6.07,62.2,68.3,419.0,0
1075,2026-09-04,1.5,6.13,31.5,29.5,803.0,1
1072,2026-08-29,14.1,8.93,90.1,53.1,801.0,0
1036,2026-09-03,7.9,6.28,63.9,45.5,461.0,0
1038,2026-08-27,6.4,7.32,66.0,55.4,709.0,0
1084,2026-08-20,12.3,5.51,78.7,58.3,247.0,2
1099,2026-09-07,12.6,7.57,77.1,76.0,745.0,0
1089,2026-09-06,5.3,6.45,79.1,64.4,486.0,0
1099,2026-09-09,10.6,5.91,37.4,81.3,355.0,1
1025,2026-08-26,11.7,7.94,81.1,49.5,681.0,0
1093,2026-08-27,10.0,6.18,31.8,38.7,246.0,2
1018,2026-08-23,2.7,6.68,85.4,81.8,668.0,1
1082,2026-08-18,13.2,6.0,92.4,66.5,374.0,1
1066,2026-08-27,8.3,6.18,42.6,48.9,331.0,1
1054,2026-08-30,4.6,6.0,76.6,66.6,612.0,0
1035,2026-08-22,6.7,5.74,91.1,72.5,565.0,0
1080,2026-08-19,1.0,8.04,61.0,61.8,891.0,0
1061,2026-08-16,2.4,5.49,83.5,49.1,343.0,1
1041,2026-09-04,11.6,6.61,14.3,53.4,875.0,2
1033,2026-09-05,0.5,5.67,92.0,64.4,372.0,1
1068,2026-09-03,6.5,,70.6,63.0,784.0,0
1033,2026-09-07,8.1,7.77,64.8,78.2,821.0,0
1014,2026-08-28,1.3,5.76,89.7,55.9,664.0,0
1021,2026-08-31,14.6,7.8,100.0,45.5,442.0,0
1048,2026-08-21,3.8,6.38,79.7,98.7,295.0,2
1020,2026-08-22,4.9,8.29,100.0,62.6,210.0,2
1008,2026-08-26,4.9,7.12,38.9,72.5,970.0,1
1007,2026-09-07,3.8,7.96,83.3,67.8,541.0,0
1067,2026-08-18,0.5,7.8,67.4,62.8,379.0,1
1017,2026-08-30,11.1,6.73,54.2,56.6,371.0,1
1033,2026-09-09,14.5,5.94,31.4,17.9,634.0,1
1048,2026-08-23,3.8,5.92,82.2,44.1,521.0,0
1076,2026-08-27,10.1,7.57,87.5,64.9,216.0,2
1059,2026-09-05,11.3,6.41,96.8,19.2,773.0,0
1086,2026-09-02,12.8,7.06,93.5,61.1,667.0,0
1022,2026-09-04,6.6,7.95,54.6,69.9,968.0,0
1030,2026-08-29,4.9,6.47,95.8,72.5,828.0,0
1038,2026-08-28,5.2,9.19,97.9,69.0,100.0,2
1051,2026-08-20,10.8,6.96,64.8,74.4,883.0,0
1054,2026-09-01,12.3,6.89,70.6,84.1,841.0,1
1008,2026-08-28,3.1,8.23,51.3,76.4,453.0,0
1027,2026-08-20,5.9,,99.6,63.0,513.0,0
1027,2026-08-21,13.6,5.95,39.8,58.0,682.0,1
1098,2026-08-25,12.2,6.8,80.7,61.7,397.0,1
1021,2026-09-01,14.8,6.34,58.1,55.9,551.0,0
1030,2026-08-30,11.4,8.04,47.8,76.8,800.0,0
1097,2026-08-30,6.2,8.49,32.5,68.6,704.0,1
1028,2026-09-09,9.1,6.6,65.7,54.3,467.0,0
1064,2026-09-05,10.1,6.17,44.7,79.9,805.0,1
1097,2026-08-31,1.6,8.19,71.1,55.6,661.0,0
1069,2026-08-22,8.4,6.44,100.0,45.8,654.0,0
1061,2026-08-17,10.8,7.52,74.0,59.8,497.0,0
1048,2026-08-24,2.9,6.56,100.0,47.6,599.0,0
1019,2026-08-30,11.8,7.84,50.4,74.0,445.0,0
1004,2026-08-29,9.0,7.57,44.4,47.3,212.0,2
1035,2026-08-23,14.3,7.76,49.5,58.3,544.0,0
1064,2026-09-06,1.1,7.57,68.7,74.1,576.0,0
1049,2026-08-18,4.3,6.85,100.0,49.3,627.0,0
1017,2026-09-01,9.2,7.23,36.8,66.2,842.0,1
1044,2026-09-08,4.8,8.33,82.4,45.4,470.0,0
1092,2026-08-25,10.9,6.17,56.0,63.7,526.0,0
1030,2026-09-01,11.5,7.97,65.5,68.5,753.0,0
1093,2026-08-29,2.0,8.81,44.8,59.4,449.0,1
1046,2026-08-24,8.0,6.84,87.6,60.5,631.0,0
1006,2026-09-01,7.9,7.26,69.1,66.7,518.0,0
1099,2026-09-11,5.9,8.56,91.7,55.8,551.0,0
1037,2026-09-08,14.0,7.13,73.5,73.3,752.0,0
1024,2026-08-27,12.5,6.97,31.4,80.6,525.0,1
1093,2026-08-31,10.6,5.71,91.9,46.1,758.0,0
1046,2026-08-26,10.9,6.67,29.7,86.5,210.0,2
1053,2026-08-31,7.2,6.76,32.6,55.4,314.0,1
1095,2026-08-19,13.9,7.23,51.7,89.9,136.0,2
1099,2026-09-12,10.6,7.5,51.9,55.7,367.0,1
1060,2026-09-07,11.1,6.64,97.9,70.6,971.0,0
1097,2026-09-02,13.0,7.66,66.6,70.5,596.0,0
1063,2026-08-30,4.5,6.25,94.9,54.2,456.0,0
1085,2026-08-19,12.2,8.49,58.6,61.1,757.0,0
1032,2026-09-09,3.3,7.18,76.4,81.6,785.0,1
1087,2026-09-03,5.5,6.09,79.5,55.2,356.0,1
1033,2026-09-11,5.4,6.8,83.9,53.7,1100.0,0
1067,2026-08-19,14.7,7.96,60.7,42.7,655.0,0
1018,2026-08-24,12.9,6.72,62.4,83.5,680.0,1
1025,2026-08-28,10.7,5.92,64.0,52.8,699.0,0
1095,2026-08-20,11.0,9.06,37.0,78.0,699.0,1
1054,2026-09-03,8.7,7.41,68.3,51.0,476.0,0
1058,2026-08-30,14.2,8.65,62.3,77.5,1023.0,0
1067,2026-08-21,7.7,6.77,81.6,72.1,543.0,0
1046,2026-08-28,6.0,6.59,71.8,56.6,792.0,0
1024,2026-08-28,2.9,8.35,96.7,49.0,505.0,0
1032,2026-09-10,11.9,6.53,71.4,50.2,470.0,0
1047,2026-09-03,11.1,7.47,58.8,50.0,980.0,0
1086,2026-09-04,6.1,,71.2,76.0,578.0,0
1023,2026-08-27,0.9,6.79,84.5,62.4,593.0,0
1066,2026-08-28,12.7,6.07,34.5,43.3,657.0,1
1027,2026-08-23,0.7,6.4,55.7,56.2,1120.0,0
1002,2026-09-03,10.7,5.67,56.1,58.0,1034.0,0
1090,2026-09-02,14.6,5.49,78.2,27.9,857.0,0
1017,2026-09-03,6.8,7.75,80.5,57.1,1171.0,0
1033,2026-09-13,3.9,6.3,72.0,70.8,411.0,0
1009,2026-09-01,10.7,,20.4,57.9,731.0,2
1043,2026-08-21,12.3,8.6,37.0,63.8,615.0,1
1048,2026-08-25,8.4,7.61,65.2,67.3,246.0,2
1039,2026-08-29,14.5,5.89,60.0,54.9,693.0,0
1093,2026-09-01,1.2,,70.1,71.0,502.0,0
1042,2026-09-02,7.8,7.26,60.6,81.9,907.0,1
1026,2026-09-01,10.9,7.12,100.0,37.1,521.0,0
1099,2026-09-13,13.0,6.99,24.1,54.8,510.0,2
1050,2026-08-20,3.1,9.3,76.1,94.9,907.0,2
1025,2026-08-29,12.1,6.87,86.6,62.6,587.0,0
1024,2026-08-29,8.5,6.31,84.0,59.5,833.0,0
1013,2026-08-27,6.3,6.82,85.7,56.1,685.0,0
1060,2026-09-08,2.4,5.97,88.6,79.1,688.0,0
1007,2026-09-08,13.0,8.31,57.9,45.9,551.0,0
1057,2026-09-06,2.8,6.01,48.0,73.9,700.0,0
1036,2026-09-04,5.0,6.9,29.3,55.8,574.0,1
1045,2026-08-23,4.7,7.65,62.7,48.8,439.0,0
1020,2026-08-23,13.1,7.46,54.4,56.5,579.0,0
1065,2026-09-06,10.3,6.23,93.2,59.3,858.0,0
1008,2026-08-29,12.1,6.57,64.2,52.5,707.0,0
1016,2026-08-31,4.1,8.64,49.4,76.7,754.0,0
1014,2026-08-30,9.6,6.8,46.2,48.9,600.0,0
1076,2026-08-28,8.8,7.8,100.0,62.1,212.0,2
1087,2026-09-05,12.6,5.77,69.6,68.1,356.0,1
1015,2026-09-13,13.6,7.87,54.4,61.9,542.0,0
1092,2026-08-26,0.7,7.1,72.5,71.6,373.0,1
1098,2026-08-27,10.3,5.92,100.0,53.5,495.0,0
1066,2026-08-30,1.3,6.49,62.2,69.3,488.0,0
1032,2026-09-11,8.5,5.89,83.7,69.8,494.0,0
1087,2026-09-07,4.7,8.09,93.7,74.5,887.0,0
1063,2026-09-01,4.9,6.83,32.2,31.7,589.0,1
1086,2026-09-05,5.6,6.95,57.2,67.6,787.0,0
